event_id,timestamp,zone,x,y,depth,magnitude,frequency,dominant_frequency,pga,ground_velocity,duration,severity,status,risk_contributionSEIS-00001,2026-09-21T16:00:49,Processing Area,11.8,-16.9,120.2,1.44,10.94,10.94,0.0128,1.83,15.1,NORMAL,NORMAL,4.0
SEIS-00002,2026-09-21T16:01:13,South Pit,-16.47,-8.66,101.3,1.73,3.76,3.76,0.0135,5.6,11.3,NORMAL,NORMAL,4.5
SEIS-00003,2026-09-21T16:01:34,Conveyor Zone,-1.44,0.99,62.8,1.77,10.77,10.77,0.0101,1.46,10.3,NORMAL,NORMAL,3.0
SEIS-00004,2026-09-21T16:02:58,Processing Area,14.5,-18.46,112.6,0.72,6.21,6.21,0.0034,0.85,6.0,NORMAL,NORMAL,1.5
SEIS-00005,2026-09-21T16:03:03,South Pit,-16.91,-14.73,30.6,1.1,3.44,3.44,0.0065,2.95,6.0,NORMAL,NORMAL,1.5
SEIS-00006,2026-09-21T16:03:12,Processing Area,14.44,-17.39,172.8,1.8,4.51,4.51,0.0096,3.32,16.1,ELEVATED,ELEVATED,5.0
SEIS-00007,2026-09-21T16:03:16,North Pit,15.81,15.66,78.2,0.76,11.36,11.36,0.003,0.41,13.4,NORMAL,NORMAL,2.0
SEIS-00008,2026-09-21T16:03:32,Storage Area,-14.43,17.99,147.1,3.86,7.18,7.18,0.1535,33.37,4.0,HIGH,HIGH,14.5
SEIS-00009,2026-09-21T16:03:34,South Pit,-16.94,-9.49,71.8,1.79,3.29,3.29,0.0205,9.73,12.2,ELEVATED,ELEVATED,7.0
SEIS-00010,2026-09-21T16:03:49,Processing Area,8.37,-19.8,97.4,1.57,4.0,4.0,0.0079,3.08,11.7,NORMAL,NORMAL,4.0
SEIS-00011,2026-09-21T16:03:54,Conveyor Zone,0.42,-6.91,55.9,1.65,5.9,5.9,0.0106,2.8,6.5,NORMAL,NORMAL,3.5
SEIS-00012,2026-09-21T16:04:05,North Pit,17.88,13.61,91.0,3.46,2.17,2.17,0.1613,116.02,4.6,CRITICAL,CRITICAL,18.5
SEIS-00013,2026-09-21T16:04:05,South Pit,-19.19,-8.96,129.3,2.38,6.62,6.62,0.0193,4.55,4.7,ELEVATED,ELEVATED,5.0
SEIS-00014,2026-09-21T16:27:40,Storage Area,-10.38,21.5,87.0,0.87,3.98,3.98,0.0036,1.41,4.9,NORMAL,NORMAL,1.5
SEIS-00015,2026-09-21T16:27:46,South Pit,-19.3,-13.69,29.3,2.95,6.33,6.33,0.0635,15.66,6.1,ELEVATED,ELEVATED,9.5
SEIS-00016,2026-09-21T16:27:46,Processing Area,14.9,-18.85,124.7,0.77,9.27,9.27,0.003,0.51,4.9,NORMAL,NORMAL,4.5
SEIS-00017,2026-09-21T16:27:54,North Pit,17.17,10.4,170.4,1.0,3.71,3.71,0.0043,1.81,4.9,NORMAL,NORMAL,3.0
SEIS-00018,2026-09-21T16:28:00,Conveyor Zone,4.75,-4.5,178.7,0.97,2.03,2.03,0.0028,2.15,10.1,NORMAL,NORMAL,2.5
SEIS-00019,2026-09-21T16:28:51,Processing Area,12.77,-16.36,130.9,1.2,6.48,6.48,0.0069,1.66,16.2,ELEVATED,ELEVATED,6.5
SEIS-00020,2026-09-21T16:31:46,Storage Area,-13.51,18.99,103.8,1.01,9.38,9.38,0.0063,1.05,11.3,NORMAL,NORMAL,4.0
SEIS-00021,2026-09-21T18:23:34,South Pit,-13.93,-13.69,96.7,1.76,6.92,6.92,0.0114,2.57,14.9,ELEVATED,ELEVATED,8.5
SEIS-00022,2026-09-21T18:29:34,Conveyor Zone,1.51,0.88,47.9,1.5,6.81,6.81,0.0097,2.22,12.6,ELEVATED,ELEVATED,5.0
SEIS-00023,2026-09-21T18:31:34,Storage Area,-15.15,17.85,124.3,1.45,5.99,5.99,0.0069,1.8,11.6,NORMAL,NORMAL,4.0
SEIS-00024,2026-09-21T18:38:34,Processing Area,14.11,-18.92,35.8,1.63,6.52,6.52,0.0175,4.19,15.5,ELEVATED,ELEVATED,7.0
SEIS-00025,2026-09-21T18:42:34,South Pit,-12.22,-14.17,140.8,1.53,6.16,6.16,0.0051,1.29,8.0,ELEVATED,ELEVATED,5.5
SEIS-00026,2026-09-21T18:43:34,Conveyor Zone,-0.9,-4.42,135.7,1.15,6.33,6.33,0.0044,1.08,5.0,NORMAL,NORMAL,3.0
SEIS-00027,2026-09-21T18:45:34,Storage Area,-15.78,20.05,26.9,1.61,9.84,9.84,0.0117,1.86,15.4,ELEVATED,ELEVATED,8.5
SEIS-00028,2026-09-21T19:17:34,North Pit,18.71,10.62,143.4,1.55,12.0,12.0,0.011,1.43,3.1,NORMAL,NORMAL,2.0
SEIS-00029,2026-09-21T19:21:34,Conveyor Zone,-1.66,-0.88,97.3,1.95,11.1,11.1,0.0123,1.73,6.0,ELEVATED,ELEVATED,5.0
SEIS-00030,2026-09-21T19:22:34,Processing Area,12.42,-18.46,121.5,1.27,4.53,4.53,0.0131,4.51,4.2,ELEVATED,ELEVATED,6.5
SEIS-00031,2026-09-21T19:23:34,North Pit,20.08,13.11,100.6,1.39,7.14,7.14,0.0089,1.95,13.3,NORMAL,NORMAL,3.5
SEIS-00032,2026-09-21T19:29:34,South Pit,-17.57,-11.32,160.4,1.45,7.35,7.35,0.0086,1.83,4.0,NORMAL,NORMAL,4.5
SEIS-00033,2026-09-21T19:31:34,Conveyor Zone,-1.83,-1.06,164.1,2.17,3.37,3.37,0.0111,5.14,10.2,ELEVATED,ELEVATED,7.5
SEIS-00034,2026-09-21T19:33:33,Processing Area,12.23,-19.6,52.1,1.44,2.75,2.75,0.0155,8.8,4.2,ELEVATED,ELEVATED,6.5
SEIS-00035,2026-09-21T19:37:22,Storage Area,-8.5,16.71,54.3,2.19,10.34,10.34,0.0232,3.5,15.0,NORMAL,NORMAL,4.0
SEIS-00036,2026-09-21T19:37:36,North Pit,17.13,11.16,25.5,2.28,11.57,11.57,0.0605,8.16,16.6,ELEVATED,ELEVATED,8.5
SEIS-00037,2026-09-21T19:37:54,South Pit,-14.64,-10.58,148.4,1.43,11.1,11.1,0.0096,1.35,17.6,ELEVATED,ELEVATED,5.0
SEIS-00038,2026-09-21T19:37:54,Processing Area,12.45,-19.17,109.6,1.35,4.41,4.41,0.0115,4.07,4.4,ELEVATED,ELEVATED,6.5
SEIS-00039,2026-09-21T19:38:19,Conveyor Zone,-1.24,-2.35,55.9,1.9,11.82,11.82,0.0174,2.3,16.0,ELEVATED,ELEVATED,7.0
SEIS-00040,2026-09-21T19:42:33,Processing Area,13.66,-18.09,86.4,1.6,5.85,5.85,0.0154,4.11,14.9,ELEVATED,ELEVATED,8.5
SEIS-00041,2026-09-21T19:46:05,North Pit,16.6,13.68,139.0,3.84,3.27,3.27,0.1673,79.85,9.0,CRITICAL,CRITICAL,19.0
SEIS-00042,2026-09-21T19:46:39,Storage Area,-15.68,19.58,108.4,1.28,6.61,6.61,0.0052,1.23,10.7,NORMAL,NORMAL,2.5
SEIS-00043,2026-09-21T19:46:42,North Pit,17.44,8.7,48.5,1.74,6.43,6.43,0.0146,3.54,12.9,ELEVATED,ELEVATED,8.5
SEIS-00044,2026-09-21T19:46:49,Processing Area,8.22,-18.78,56.7,0.73,5.14,5.14,0.0035,1.06,12.4,ELEVATED,ELEVATED,6.5
SEIS-00045,2026-09-21T19:47:03,Conveyor Zone,3.24,-4.22,166.2,1.28,6.4,6.4,0.0065,1.59,3.4,NORMAL,NORMAL,4.5
SEIS-00046,2026-09-21T19:51:33,South Pit,-18.22,-11.61,141.9,1.84,1.85,1.85,0.0127,10.71,4.9,NORMAL,NORMAL,2.0
SEIS-00047,2026-09-21T19:53:33,North Pit,17.4,12.97,142.1,1.58,8.63,8.63,0.0134,2.42,3.4,ELEVATED,ELEVATED,6.5
SEIS-00048,2026-09-21T19:53:33,Conveyor Zone,4.15,-6.0,143.1,0.87,7.28,7.28,0.0027,0.58,3.1,NORMAL,NORMAL,4.5
SEIS-00049,2026-09-21T19:56:33,Processing Area,15.01,-21.77,53.5,1.67,2.19,2.19,0.01,7.13,3.6,ELEVATED,ELEVATED,6.5
SEIS-00050,2026-09-21T19:59:33,North Pit,19.35,12.07,52.7,0.78,4.25,4.25,0.0074,2.72,8.2,ELEVATED,ELEVATED,5.5
SEIS-00051,2026-09-21T19:59:33,Conveyor Zone,2.65,-1.44,33.2,1.37,9.37,9.37,0.0154,2.57,5.3,ELEVATED,ELEVATED,6.5
SEIS-00052,2026-09-21T20:00:33,South Pit,-19.75,-12.98,81.1,2.05,7.3,7.3,0.0153,3.27,14.3,ELEVATED,ELEVATED,5.5
SEIS-00053,2026-09-21T20:04:19,Storage Area,-11.82,19.1,25.6,3.73,8.73,8.73,0.35,62.57,17.7,CRITICAL,CRITICAL,18.5
SEIS-00054,2026-09-21T20:50:33,Processing Area,14.85,-19.36,79.4,1.16,8.56,8.56,0.0062,1.13,12.6,ELEVATED,ELEVATED,6.5
SEIS-00001,2026-09-21T20:54:16,Processing Area,10.27,-18.5,153.2,0.73,7.23,7.23,0.0034,0.73,8.0,NORMAL,NORMAL,2.5
SEIS-00002,2026-09-21T20:54:33,South Pit,-18.85,-11.93,35.0,2.53,6.32,6.32,0.0462,11.41,6.8,ELEVATED,ELEVATED,6.5
SEIS-00003,2026-09-21T20:54:57,Processing Area,9.29,-20.76,63.3,1.21,9.71,9.71,0.0062,1.0,13.4,NORMAL,NORMAL,3.5
SEIS-00004,2026-09-21T20:55:04,Storage Area,-10.2,15.95,126.9,2.18,3.65,3.65,0.019,8.12,7.7,NORMAL,NORMAL,4.5
SEIS-00005,2026-09-21T20:55:08,Conveyor Zone,0.55,0.15,88.5,1.08,9.32,9.32,0.005,0.84,17.1,NORMAL,NORMAL,3.5
SEIS-00006,2026-09-21T20:55:11,North Pit,17.79,14.98,76.7,1.88,1.94,1.94,0.0162,13.03,17.9,NORMAL,NORMAL,4.0
SEIS-00001,2026-09-22T04:10:29,Storage Area,-13.63,18.73,72.4,2.55,11.74,11.74,0.0534,7.1,4.9,ELEVATED,ELEVATED,5.0
SEIS-00002,2026-09-22T04:11:06,Conveyor Zone,-1.36,-5.61,64.1,2.2,6.76,6.76,0.0203,4.69,12.5,ELEVATED,ELEVATED,5.5
SEIS-00003,2026-09-22T04:12:24,North Pit,16.33,15.04,89.5,0.86,3.73,3.73,0.0037,1.55,12.8,NORMAL,NORMAL,3.5
SEIS-00004,2026-09-22T04:12:34,South Pit,-13.74,-14.92,55.6,1.48,9.49,9.49,0.0082,1.35,3.3,NORMAL,NORMAL,1.5
SEIS-00005,2026-09-22T04:12:40,Storage Area,-10.59,20.64,112.0,0.96,4.23,4.23,0.0041,1.51,16.2,NORMAL,NORMAL,3.5
SEIS-00006,2026-09-22T04:12:55,Processing Area,15.69,-16.28,63.5,1.49,5.33,5.33,0.0085,2.49,18.0,NORMAL,NORMAL,3.5
SEIS-00007,2026-09-22T04:13:07,Conveyor Zone,3.88,-0.15,130.9,2.02,6.12,6.12,0.013,3.32,5.7,NORMAL,NORMAL,3.5
SEIS-00008,2026-09-22T04:13:13,North Pit,15.58,15.87,143.5,2.74,11.76,11.76,0.0245,3.25,9.4,NORMAL,NORMAL,3.0
SEIS-00009,2026-09-22T04:13:17,South Pit,-16.21,-11.75,95.4,1.27,3.67,3.67,0.0139,5.91,11.2,NORMAL,NORMAL,4.5
SEIS-00010,2026-09-22T04:13:28,Storage Area,-12.34,18.87,66.3,1.2,11.02,11.02,0.0138,1.95,12.3,ELEVATED,ELEVATED,5.5
SEIS-00001,2026-09-22T04:13:47,North Pit,15.9,11.25,73.5,1.47,8.9,8.9,0.0118,2.07,12.7,ELEVATED,ELEVATED,5.5
SEIS-00002,2026-09-22T04:13:56,Conveyor Zone,2.56,0.43,80.5,1.13,6.63,6.63,0.0055,1.29,10.9,NORMAL,NORMAL,2.5
SEIS-00003,2026-09-22T04:14:10,South Pit,-18.83,-12.15,93.9,1.0,4.85,4.85,0.0047,1.51,7.9,NORMAL,NORMAL,2.5
SEIS-00004,2026-09-22T04:14:13,Processing Area,13.9,-20.85,95.2,2.22,1.92,1.92,0.0204,16.58,6.8,NORMAL,NORMAL,2.0
SEIS-00005,2026-09-22T04:14:21,Storage Area,-12.9,20.57,48.1,1.72,6.02,6.02,0.0164,4.25,14.4,ELEVATED,ELEVATED,5.5
