00:04:07,CAM-03,North Pit,PPE violation,MEDIUM,88,False,False
00:04:09,CAM-04,South Pit,Routine movement,INFO,89,True,False
00:04:11,CAM-05,Conveyor Zone,Routine movement,INFO,89,True,False
00:04:14,CAM-06,Processing Area,Routine movement,INFO,96,True,False
00:04:16,CAM-07,Storage Area,Routine movement,INFO,95,True,False
00:04:17,CAM-03,North Pit,PPE violation,MEDIUM,91,False,False
00:04:18,CAM-04,South Pit,Routine movement,INFO,91,True,False
00:04:18,CAM-05,Conveyor Zone,Routine movement,INFO,88,True,False
00:04:19,CAM-06,Processing Area,PPE violation,MEDIUM,90,False,False
00:04:19,CAM-07,Storage Area,Routine movement,INFO,91,True,False
00:04:20,CAM-03,North Pit,PPE violation,HIGH,92,False,False
00:04:20,CAM-04,South Pit,Routine movement,INFO,94,True,False
00:04:21,CAM-05,Conveyor Zone,Routine movement,INFO,92,True,False
00:04:21,CAM-06,Processing Area,PPE violation,MEDIUM,94,False,False
00:04:23,CAM-07,Storage Area,Routine movement,INFO,90,True,False
00:04:24,CAM-03,North Pit,PPE violation,HIGH,92,False,False
00:04:27,CAM-04,South Pit,Routine movement,INFO,96,True,False
00:04:28,CAM-05,Conveyor Zone,Routine movement,INFO,96,True,False
00:04:30,CAM-06,Processing Area,PPE violation,MEDIUM,94,False,False
00:04:32,CAM-07,Storage Area,Routine movement,INFO,90,True,False
00:04:34,CAM-03,North Pit,PPE violation,HIGH,93,False,False
00:04:36,CAM-04,South Pit,Routine movement,INFO,97,True,False
00:04:38,CAM-05,Conveyor Zone,PPE violation,MEDIUM,90,False,False
00:04:39,CAM-06,Processing Area,PPE violation,MEDIUM,90,False,False
00:04:41,CAM-07,Storage Area,Routine movement,INFO,91,True,False
00:04:43,CAM-03,North Pit,PPE violation,HIGH,91,False,False
00:04:43,CAM-04,South Pit,Routine movement,INFO,88,True,False
00:04:43,CAM-05,Conveyor Zone,PPE violation,MEDIUM,96,False,False
00:04:44,CAM-06,Processing Area,PPE violation,MEDIUM,94,False,False
00:04:44,CAM-07,Storage Area,Routine movement,INFO,95,True,False
00:04:44,CAM-03,North Pit,PPE violation,HIGH,92,False,False
00:04:45,CAM-04,South Pit,Routine movement,INFO,90,True,False
00:04:45,CAM-05,Conveyor Zone,PPE violation,HIGH,96,False,False
00:04:46,CAM-06,Processing Area,PPE violation,MEDIUM,97,False,False
00:04:46,CAM-07,Storage Area,Routine movement,INFO,96,True,False
00:04:46,CAM-03,North Pit,PPE violation,HIGH,92,False,False
00:04:47,CAM-04,South Pit,Routine movement,INFO,96,True,False
00:04:47,CAM-05,Conveyor Zone,PPE violation,MEDIUM,90,False,False
00:04:47,CAM-06,Processing Area,PPE violation,MEDIUM,96,False,False
00:04:48,CAM-07,Storage Area,Routine movement,INFO,88,True,False
00:04:48,CAM-03,North Pit,PPE violation,HIGH,97,False,False
00:04:49,CAM-04,South Pit,Routine movement,INFO,97,True,False
00:04:49,CAM-05,Conveyor Zone,PPE violation,MEDIUM,95,False,False
00:04:49,CAM-06,Processing Area,PPE violation,MEDIUM,97,False,False
